0,1033,2195
0,1237,2768
0,1301,2299
0,1401,2845
0,1889,2393
0,2071,2673
0,2301,2698
0,2621,2702
0,3931,2942
0,5519,541
0,11855,2448
0,12049,2949
0,14915,2903
0,18801,1393
0,20603,349
0,22945,2944
0,23057,2846
0,23897,2945
0,24588,321
0,25491,2931
0,26793,2921
0,28047,2243
0,29523,2937
0,31498,1454
0,32019,1894
0,33746,1261
0,39717,2821
0,41403,2937
0,44141,2940
0,45973,1027
0,46469,2822
0,48230,1465
0,49713,1329
0,50896,1935
0,50908,624
0,51187,2936
0,51243,1036
0,54347,2947
0,56357,1055
0,56931,389
0,57586,2717
0,58367,2948
0,58878,2896
0,59884,2820
0,60594,2906
0,64206,2912
0,65398,2834
0,65508,2060
0,66066,2444
0,67874,1702
0,68526,2910
0,68568,2096
0,69434,2932
0,69982,1731
0,71676,2293
0,72230,2467
0,72942,2797
0,73124,2763
0,73356,2221
0,73398,2701
0,73870,2912
0,74612,1350
0,74994,452
0,75330,2910
0,77268,2294
0,78626,1828
0,79606,2650
0,79710,2891
0,80226,1883
0,80750,1699
0,81716,1438
0,83436,2656
0,85412,2609
0,85892,2936
0,86016,2726
0,86248,2385
0,86266,2470
0,88066,313
0,88274,2397
0,91664,2900
0,94628,1057
0,94776,2915
0,95378,2509
0,98781,2379
0,99912,2871
0,100372,2900
0,101504,462
0,105577,2943
0,105671,2302
0,105992,2070
0,110207,2952
0,111787,1932
0,111879,1546
0,113137,2182
0,116297,1840
0,119331,1181
0,123957,2952
0,124043,2952
0,126535,768
0,126573,2845
